action_type,assay_chembl_id,assay_type,bao_endpoint,bao_format,bao_label,molecule_chembl_id,parent_molecule_chembl_id,record_id,src_id,standard_flag,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,cleaned_smiles,InChIkey,IC50,PIC50
,CHEMBL645001,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL65356,CHEMBL65356,112507,1,1,=,IC50,nM,930.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,OAZAZSVSTJITEI-VWNXMTODSA-N,930.0,6.03152
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL154366,CHEMBL154366,301746,1,1,=,IC50,nM,370.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CC1CCCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)C1,LHXDCPANSLINDJ-UHFFFAOYSA-N,370.0,6.4318
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL153821,CHEMBL153821,301744,1,1,=,IC50,nM,4500.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CC1CCCC(C)N1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,BGUNJPMNAQNPJN-UHFFFAOYSA-N,4500.0,5.34679
,CHEMBL645001,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL303574,CHEMBL303574,112510,1,1,=,IC50,nM,7600.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,PXRSKRAHRPHMEB-GGAORHGYSA-N,7600.0,5.11919
,CHEMBL645001,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL65018,CHEMBL65018,112506,1,1,=,IC50,nM,80.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,PLDHPJSOABLSHM-RSXGOPAZSA-N,80.0,7.09691
,CHEMBL645001,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL66309,CHEMBL66309,112499,1,1,=,IC50,nM,380.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,FWJLNPNOFSXKMI-NOZRDPDXSA-N,380.0,6.42022
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL1203535,CHEMBL151626,301740,1,1,=,IC50,nM,3300.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,COC1CCCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)C1,KNECVBKLZJDAMM-UHFFFAOYSA-N,3300.0,5.48149
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL152260,CHEMBL152260,301742,1,1,=,IC50,nM,370.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCC(O)C2)o1,DEVJEYZPXPIVKH-UHFFFAOYSA-N,370.0,6.4318
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL154950,CHEMBL154950,301747,1,1,=,IC50,nM,9300.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,C/N=c1\c(O)c(O)\c1=N/CCNCc1ccc(CN2CCCCC2)o1,OTEXQGZMMAIBKH-FZBYNPQBSA-N,9300.0,5.03152
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL1203538,CHEMBL153907,301756,1,1,=,IC50,nM,120.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCCC2)o1,MYRGYOVGGPKBKY-UHFFFAOYSA-N,120.0,6.92082
,CHEMBL638603,B,BAO_0000190,BAO_0000019,assay format,CHEMBL19060,CHEMBL19060,256320,1,1,=,IC50,nM,7244.36,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,COc1ccccc1CNCCCCCCNCCSSCCNCCCCCCNCc1ccccc1OC,IIWOUNLDWKZMQI-UHFFFAOYSA-N,7244.36,5.14
,CHEMBL638603,B,BAO_0000190,BAO_0000019,assay format,CHEMBL422977,CHEMBL422977,256330,1,1,=,IC50,nM,4466.84,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,COc1ccccc1CNCCCCCCNCCCCCCCNCCCCCCNCc1ccccc1OC,DCPJIWWEBRXADV-UHFFFAOYSA-N,4466.84,5.35
,CHEMBL638603,B,BAO_0000190,BAO_0000019,assay format,CHEMBL11805,CHEMBL11805,256322,1,1,=,IC50,nM,169.82,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC,HDAQKLAKMZNBQB-UHFFFAOYSA-N,169.82,6.77001
,CHEMBL638603,B,BAO_0000190,BAO_0000019,assay format,CHEMBL302179,CHEMBL302179,256331,1,1,=,IC50,nM,6456.54,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,COc1ccccc1CNCCCCCCNCCCCCCNCCCCCCNCc1ccccc1OC,BNMMMFMJYKFYRQ-UHFFFAOYSA-N,6456.54,5.19
,CHEMBL638603,B,BAO_0000190,BAO_0000019,assay format,CHEMBL94,CHEMBL94,256324,1,1,=,IC50,nM,14.13,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,PIJVFDBKTWXHHD-HIFRSBDPSA-N,14.13,7.15579
,CHEMBL638603,B,BAO_0000190,BAO_0000019,assay format,CHEMBL27673,CHEMBL27673,256327,1,1,=,IC50,nM,5370.32,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,COc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc1ccccc1OC,RPMBYDYUVKEZJA-UHFFFAOYSA-N,5370.32,5.27
,CHEMBL638603,B,BAO_0000190,BAO_0000019,assay format,CHEMBL132377,CHEMBL132377,256326,1,1,=,IC50,nM,309.03,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,COc1ccccc1CNCCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCNCc1ccccc1OC,LNYHYEQQDYJOII-UHFFFAOYSA-N,309.03,6.51
,CHEMBL638603,B,BAO_0000190,BAO_0000019,assay format,CHEMBL95,CHEMBL95,256325,1,1,=,IC50,nM,218.78,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,Nc1c2c(nc3ccccc13)CCCC2,YLJREFDVOIBQDA-UHFFFAOYSA-N,218.78,6.86646
,CHEMBL638603,B,BAO_0000190,BAO_0000019,assay format,CHEMBL134488,CHEMBL134488,256321,1,1,=,IC50,nM,1862.09,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,COc1ccccc1CNCCCCCC(=O)NCCCCCCCCNC(=O)CCCCCNCc1ccccc1OC,MMJRYNURNQIZRV-UHFFFAOYSA-N,1862.09,5.73
,CHEMBL638603,B,BAO_0000190,BAO_0000019,assay format,CHEMBL134382,CHEMBL134382,256329,1,1,=,IC50,nM,7244.36,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,COc1ccccc1CNCCCCCCNCCCCCNCCCCCCNCc1ccccc1OC,QHXIAJIYLGAPSH-UHFFFAOYSA-N,7244.36,5.14
,CHEMBL643374,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL59109,CHEMBL59109,99169,1,1,=,IC50,nM,3000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,NC12CC(C(F)(F)F)=CC(Cc3nc(O)ccc31)/C2=C\C(F)(F)F,BQYXYZYJEUBVBN-UXBLZVDNSA-N,3000.0,5.52288
,CHEMBL643374,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL294891,CHEMBL294891,99167,1,1,=,IC50,nM,400.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,C/C=C1\C2C=C(C(F)(F)F)CC1(N)c1ccc(O)nc1C2,WPUFLGDKDRHMHB-WTDSWWLTSA-N,400.0,6.39794
,CHEMBL643374,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL395280,CHEMBL395280,99166,1,1,=,IC50,nM,5.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,C/C=C1\[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2,ZRJBHWIHUMBLCN-YQEJDHNASA-N,5.0,7.115494999999999
,CHEMBL644834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL29300,CHEMBL1178486,42123,1,1,=,IC50,nM,6800.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CN(CCn1cc[n+](C)c1/C=N/O)S(C)(=O)=O,OCTYDCXPLXLOBG-UHFFFAOYSA-O,6800.0,5.16749
,CHEMBL643374,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL435373,CHEMBL435373,99168,1,1,=,IC50,nM,2000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CC1=CC2Cc3nc(O)ccc3C(N)(C1)/C2=C/C(F)(F)F,OPWXEMFYURUFIN-YRNVUSSQSA-N,2000.0,5.69897
,CHEMBL644115,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL60167,CHEMBL60167,158955,1,1,=,IC50,nM,676.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,Nc1c2c(nc3ccccc13)-c1ccccc1C2,CMZUAEAPKGOQSL-UHFFFAOYSA-N,676.0,6.31299
,CHEMBL644115,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL89012,CHEMBL89012,158960,1,1,=,IC50,nM,2980.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,Nc1c2c(nc3ccccc13)-c1ccccc1CC2,FRXXZKCFLLWYIW-UHFFFAOYSA-N,2980.0,4.97879
,CHEMBL643373,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL156630,CHEMBL156630,308504,1,1,=,IC50,nM,4190.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NCc3ccccc3)c(Br)c21,YRMPTPZWCQVVTR-HAHDFKILSA-N,4190.0,5.37779
